label,link,specialization,films_years,description
Кирилл Каганович,https://www.kinopoisk.ru/name/1831120,"Актер,Актер дубляжа","65, 2001 — 2023","Король и Шут,Глухарь. Возвращение,Посольство,Красные браслеты,Вы все меня бесите"
Мустай Карим,https://www.kinopoisk.ru/name/324321,Сценарист,"5, 1978 — 2023","Сестрёнка,Отряд Таганок"
Варвара Богданова,https://www.kinopoisk.ru/name/3643674,Актриса,"1, 2014 — 2014",Физрук
Chris Doerk,https://www.kinopoisk.ru/name/816861,Актриса,"7, 1968 — 2011",
Виталий Ленский,https://www.kinopoisk.ru/name/1754690,"Актер,Актер дубляжа","51, 2004 — 2024","Карпов,Анна-детективъ,Русские горки,Шифр 3,Охотник"
Валерия Демкович,https://www.kinopoisk.ru/name/2573291,Актриса,"2, 2008 — 2010",
Галина Уланова,https://www.kinopoisk.ru/name/205605,Актриса,"18, 1941 — 2021",Диснейленд
Анна Васильева-Абрамович,https://www.kinopoisk.ru/name/2612995,Актриса,"44, 2005 — 2023","Не бойся,Игра,Молодёжка,Красная королева,Медсестра"
Антон Соломатин,https://www.kinopoisk.ru/name/7197398,Актер,"6, 2021 — 2024","Командир,Оффлайн,Пищеблок"
Мария Мясникова,https://www.kinopoisk.ru/name/1112809,Актриса,"24, 2006 — 2021","Чужой район 2,Пятая группа крови,Профиль убийцы 2,Чума"
Ирина Белова,https://www.kinopoisk.ru/name/2760306,Композитор,"8, 2007 — 2022",
Анжелика Печка,https://www.kinopoisk.ru/name/5629054,Актриса,"18, 2018 — 2024","Хоккейные папы,Ника,Абрек,Медиатор,Екатерина. Фавориты,Жена олигарха,Неприличные деньги"
Галина Данилова,https://www.kinopoisk.ru/name/1175544,"Актриса,Актриса дубляжа","24, 2005 — 2023","Тариф Новогодний,Провинциалка"
Максим Томяк,https://www.kinopoisk.ru/name/4313153,Сценарист,"7, 2006 — 2020","Девушки с Макаровым,Интерны"
Владимир Дощук,https://www.kinopoisk.ru/name/1607878,"Режиссер,Сценарист","18, 2001 — 2015",Пёс
Антон Иванов,https://www.kinopoisk.ru/name/1898344,Актер,"12, 2012 — 2020",Импровизация
Джина Джерсон,https://www.kinopoisk.ru/name/3271384,Актриса,"33, 1999 — 2018",
Василий Данько,https://www.kinopoisk.ru/name/4564832,Актер,"3, 2016 — 2023",Отмороженные
Александра Каллас,https://www.kinopoisk.ru/name/3488231,Актриса,"17, 2006 — 2024",Власик. Тень Сталина
Никита Путинцев,https://www.kinopoisk.ru/name/4536605,Актер,"3, 2016 — 2023",
Илья Шапкин,https://www.kinopoisk.ru/name/2234641,Актер,"1, 2009 — 2009",
Алексей Знаменский,https://www.kinopoisk.ru/name/1815806,Актер,"5, 2005 — 2015","Шапито-шоу: Уважение и сотрудничество,Шапито-шоу: Любовь и дружба"
Дмитрий Соломыкин,https://www.kinopoisk.ru/name/1820603,Актер,"40, 2004 — 2022","Евгений Онегин,Подольские курсанты,Аманат,Учености плоды,Василиса,Черная кошка,Учености плоды,Начальник разведки,ЧС. Чрезвычайная ситуация"
Юрий Бердников,https://www.kinopoisk.ru/name/693548,"Продюсер,Актер,Режиссер,Сценарист,Композитор","28, 1980 — 2021","Вертинский. Одинокий странник,Чехов и Ко"
Оксана Сташенко,https://www.kinopoisk.ru/name/482992,"Актриса,Актриса дубляжа","96, 1994 — 2023","Зимний роман,ДМБ,Даун Хаус,Бумер,Худшая подруга,Сашка,Дворняжка Ляля,Дальнобойщики"
Николай Цискаридзе,https://www.kinopoisk.ru/name/1810323,Актер,"24, 1974 — 2023",Ералаш
Галина Макарова,https://www.kinopoisk.ru/name/281038,Актриса,"75, 1958 — 1992","Вдовы,Молодая жена,Осенние сны,Прощание славянки,Иван,Противостояние,Белые одежды,Неизвестный солдат"
Валерия Олейник,https://www.kinopoisk.ru/name/4541822,"Оператор,Монтажер","1, 2017 — 2017",
Вячеслав Шмыров,https://www.kinopoisk.ru/name/269682,"Продюсер,Сценарист","3, 1995 — 2009",Прибытие поезда
Мария Гончарук,https://www.kinopoisk.ru/name/6382785,Актриса,"2, 2016 — 2016",
Ярослав Маланин,https://www.kinopoisk.ru/name/3699719,Актер,"20, 2012 — 2022","Московские тайны. Либерея,Ищейка,Карпов,Игра. Реванш,Карпов. Сезон третий,Карпов. Сезон второй"
Александра Попова,https://www.kinopoisk.ru/name/6433699,,2,
Тамара Абросимова,https://www.kinopoisk.ru/name/327329,Актриса,"21, 1967 — 2019","Пятая группа крови,Шторм,Личные обстоятельства,Тайны следствия"
Илья Копалин,https://www.kinopoisk.ru/name/220216,"Режиссер,Сценарист","17, 1927 — 1966",Разгром немецких войск под Москвой
Анна Неделько,https://www.kinopoisk.ru/name/5298217,Актриса,"2, 2018 — 2020",Большая игра
Никита Прохожев,https://www.kinopoisk.ru/name/5474417,"Актер,Монтажер","7, 2013 — 2023",Как друзья Захара женили
Сергей Леваднов,https://www.kinopoisk.ru/name/10131806,Актер,"4, 2019 — 2023","Струны,Великолепная пятёрка"
Алла Михеева,https://www.kinopoisk.ru/name/2830959,"Актриса,Актриса дубляжа","18, 2009 — 2022","Происшествие в стране Мульти-Пульти,Обоюдное согласие,Беспринципные,Чужой район"
Анна Куркова,https://www.kinopoisk.ru/name/1825607,Актриса,"17, 2006 — 2019","Гостиница «Россия»,Профиль убийцы 2"
Кристина Морозова,https://www.kinopoisk.ru/name/6162357,Актриса,"3, 2020 — 2021",
Евгений Стеблов,https://www.kinopoisk.ru/name/174189,"Актер,Сценарист,Актер дубляжа","100, 1958 — 2023","По семейным обстоятельствам,Я шагаю по Москве,День выборов,До свидания, мальчики,Урок литературы,Воспоминания о Шерлоке Холмсе,Сыщик Путилин,Лето в городе"
Зоя Фромичева-Корсакова,https://www.kinopoisk.ru/name/2301769,Актриса,"79, 2006 — 2024","Однолюбы,Журов 2,Алхимик. Эликсир Фауста,Городские шпионы,Заступники"
Мария Шантанова,https://www.kinopoisk.ru/name/4290778,Актриса,"4, 2012 — 2017",
Лилия Гриценко,https://www.kinopoisk.ru/name/294305,"Актриса,Актриса дубляжа","53, 1944 — 1988","Верные друзья,Фантазии Фарятьева,Шофер поневоле,Парад планет,Неподдающиеся"
Рональд Пелин,https://www.kinopoisk.ru/name/2418172,Актер,"11, 2006 — 2024",Праведник
Анна Марущенко,https://www.kinopoisk.ru/name/3704755,Актриса,"13, 2008 — 2017","Невский. Проверка на прочность,Шеф 2,Колыбель над бездной,Такая работа"
Евгений Анисимов,https://www.kinopoisk.ru/name/4677369,"Монтажер,Оператор","3, 2012 — 2017",
Маргарита Агибалова,https://www.kinopoisk.ru/name/2606857,,1,
Екатерина Белова,https://www.kinopoisk.ru/name/1602141,Актриса,"19, 2007 — 2017","Отец,Отмена всех ограничений,Шакал,Хорошие руки,Вторая жизнь"
Владимир Агранович,https://www.kinopoisk.ru/name/3389394,"Режиссер,Сценарист,Оператор,Монтажер,Актер","4, 2013 — 2019",
Сергей Рахманинов,https://www.kinopoisk.ru/name/174208,"Композитор,Сценарист","43, 1932 — 2023","Старший сын,Наш бронепоезд,Прощальные гастроли"
Дарья Лузина,https://www.kinopoisk.ru/name/1667056,Актриса,"34, 2003 — 2022","Пальма,Чернобыль: Зона отчуждения,ЧС. Чрезвычайная ситуация,Боец,Сделано в СССР,Морской патруль"
Магомед Кумыков,https://www.kinopoisk.ru/name/4510370,"Режиссер,Актер,Сценарист","2, 2016 — 2020",Чики
Светлана Коркошко,https://www.kinopoisk.ru/name/273503,Актриса,"34, 1966 — 2016","Братья Карамазовы,Укрощение огня,Мертвый сезон,Странная женщина,Хиромант 2"
Борис Акопов,https://www.kinopoisk.ru/name/4718822,"Режиссер,Сценарист,Монтажер,Актер,Композитор","7, 2016 — 2023",
Виктор Живолуб,https://www.kinopoisk.ru/name/313386,"Режиссер,Сценарист","10, 1972 — 1991",Я буду ждать...
Иван Дорн,https://www.kinopoisk.ru/name/2585382,"Актер,Композитор,Режиссер","18, 2008 — 2022",Музыкальная интуиция
Федор Лясс,https://www.kinopoisk.ru/name/1078938,"Оператор,Режиссер,Актер,Сценарист,Продюсер","52, 2004 — 2022","Хардкор,Оттепель,Доброволец"
Ульяна Баранова,https://www.kinopoisk.ru/name/4003107,Актриса,"1, 2014 — 2014",Принц Сибири
Анатолий Вассерман,https://www.kinopoisk.ru/name/2340148,"Актер дубляжа,Актер","18, 2011 — 2023",
Анна Большова,https://www.kinopoisk.ru/name/559941,"Актриса,Актриса дубляжа","51, 1999 — 2024","Юнона и Авось,Презумпция невиновности,Мой личный враг,По зову сердца,Мама-детектив,Идеальная пара"
Антон Никифоров,https://www.kinopoisk.ru/name/7169597,Актер,"1, 2022 — 2022",
Кирилл Букин,https://www.kinopoisk.ru/name/6127690,Актер,"13, 2000 — 2024","Серебряные коньки,Формула преступления,Десять дней до весны,Невский. Тень архитектора,Тайны следствия,Канцелярская крыса. Большой передел"
Константин Быков,https://www.kinopoisk.ru/name/1509065,Актер,"83, 1999 — 2023","Монах и бес,Дикое поле,Отец,Черный ворон,Ваша честь,Раскол,Крапленый,Полицейский с Рублёвки в Бескудниково"
Мария Баскова,https://www.kinopoisk.ru/name/6931021,Актриса,"2, 2018 — 2019",Агент национальной безопасности. Возвращение
Константин Белошапка,https://www.kinopoisk.ru/name/3890116,Актер,"30, 2004 — 2024","Со дна вершины,Гранд,Готовы на всё,Тонкие материи,Тихий Дон,По законам военного времени"
Олег Отс,https://www.kinopoisk.ru/name/5003260,"Актер,Актер дубляжа","12, 2014 — 2023","Подольские курсанты,Струны,Союз спасения. Время гнева"
Дмитрий Титов,https://www.kinopoisk.ru/name/5780236,Монтажер,"9, 2019 — 2023",
Владлен Давыдов,https://www.kinopoisk.ru/name/198154,"Актер,Актер дубляжа","47, 1944 — 2011","Освобождение: Направление главного удара,Великий полководец Георгий Жуков,Кубанские казаки,Табачный капитан,Освобождение: Огненная дуга,ТАСС уполномочен заявить…,Семнадцать мгновений весны,Алые погоны,Чехов и Ко"
Наталия Алферьева,https://www.kinopoisk.ru/name/6332963,Актриса,"1, 2006 — 2006",
Роман Петров,https://www.kinopoisk.ru/name/5990743,Актер,"4, 2019 — 2021",
Александр Потапов,https://www.kinopoisk.ru/name/6973643,Актер,"1, 2021 — 2021",
Александр Гаврилов,https://www.kinopoisk.ru/name/1759140,"Монтажер,Режиссер,Продюсер,Сценарист,Оператор","17, 2007 — 2023",Естественный отбор
Александр Фролов,https://www.kinopoisk.ru/name/2383901,"Актер,Режиссер,Сценарист","12, 2005 — 2022",
Анастасия Городенцева,https://www.kinopoisk.ru/name/1629081,"Актриса,Режиссер,Сценарист","17, 2005 — 2023","Любка,Отец"
Александр Хотянцев,https://www.kinopoisk.ru/name/3373530,"Актер,Монтажер","12, 2004 — 2021",Мосгаз
Владимир Заднепровский,https://www.kinopoisk.ru/name/1564498,Актер,"44, 1984 — 2021","Битва за Севастополь,Остров сокровищ,Любовь с ароматом кофе,Сваты 6,Девять жизней Нестора Махно,Доктор Айболит"
Сергей Черных,https://www.kinopoisk.ru/name/7104644,Оператор,"1, 2020 — 2020",
Андрей Ростоцкий,https://www.kinopoisk.ru/name/269612,"Актер,Актер дубляжа,Режиссер,Сценарист","59, 1975 — 2007","Непобедимый,Эскадрон гусар летучих,Макар-следопыт,Зверобой,Это мы не проходили,Дни Турбиных,Дальнобойщики"
Влад Коноплёв,https://www.kinopoisk.ru/name/5132457,Актер,"31, 2011 — 2024","Король и Шут: Сказка о Горшке и Князе,Московские тайны. Опасный переплет,Король и Шут,Отмороженные,Мамы чемпионов,Восьмидесятые,Частица вселенной"
Михаил Викулин,https://www.kinopoisk.ru/name/2964761,Актер,"2, 2012 — 2012",
Светлана Сорокина,https://www.kinopoisk.ru/name/6447405,Актриса,"3, 2003 — 2006",
Дмитрий Мячин,https://www.kinopoisk.ru/name/4317139,"Продюсер,Композитор,Сценарист","9, 2008 — 2022",
Алексей Яковлев,https://www.kinopoisk.ru/name/7106356,Режиссер,"1, 2023 — 2023",
Леон Словицкий,https://www.kinopoisk.ru/name/3699911,Актер,"11, 2015 — 2022","Янычар,Купчино,Капкан на судью"
Ксения Худоба,https://www.kinopoisk.ru/name/1830364,Актриса,"14, 2009 — 2022",Чёрная лестница
Наталья Батова,https://www.kinopoisk.ru/name/4381108,Актриса,"7, 2002 — 2023",Бедные люди
Исаак Шварц,https://www.kinopoisk.ru/name/171597,Композитор,"135, 1958 — 2010","Братья Карамазовы,Белое солнце пустыни,Звезда пленительного счастья,Женя, Женечка и «Катюша»,Проверка на дорогах,Неизвестный солдат,Каникулы Кроша,Империя под ударом,Строговы"
Иван Забелин,https://www.kinopoisk.ru/name/3673033,"Актер,Актер дубляжа","19, 2009 — 2022","Тихий Дон,Оттепель,Выжить после,Кот Басик,Забытое чудо"
Вардан Петросян,https://www.kinopoisk.ru/name/595649,Актер,"4, 1974 — 2016",Линия
Иван Верховых,https://www.kinopoisk.ru/name/1955796,Актер,"33, 1982 — 2023","Раскол,Лапси,Трюфельный пёс королевы Джованны,Екатерина,Беспринципные"
Светлана Малюкова,https://www.kinopoisk.ru/name/1628975,"Актриса,Актриса дубляжа","38, 2002 — 2021","Караси,Другая,Возвращение домой,Игра. Реванш,Глухарь. Возвращение,Братья по обмену"
Владимир Коренев,https://www.kinopoisk.ru/name/198150,"Актер,Актер дубляжа","59, 1958 — 2022","Дети Дон Кихота,Криминальный талант,Человек-амфибия,Освобождение: Последний штурм,Освобождение: Битва за Берлин,Десантный Батя,Дети Арбата,Алхимик. Эликсир Фауста,Убойная сила,Предчувствие"
Александра Булейко,https://www.kinopoisk.ru/name/6462328,"Режиссер,Художник,Актриса,Сценарист,Оператор","4, 2020 — 2021",
Аниса Надеева,https://www.kinopoisk.ru/name/7115746,Актриса,"1, 2022 — 2022",
Ростислав Романов,https://www.kinopoisk.ru/name/3423820,Монтажер,"1, 2013 — 2013",
Владимир Панчик,https://www.kinopoisk.ru/name/1507143,Актер,"8, 2004 — 2018",Богиня: Как я полюбила
Родион Долгирев,https://www.kinopoisk.ru/name/1825742,Актер,"24, 2006 — 2024","Глухарь,Склифосовский,Заполярный вальс,Камера Мотор"
Павел Усачев,https://www.kinopoisk.ru/name/4729342,Сценарист,"3, 2018 — 2020",Хэппи-энд
Дмитрий Мишенин,https://www.kinopoisk.ru/name/2279545,"Сценарист,Актер","3, 2010 — 2017",
Давид Даниелян,https://www.kinopoisk.ru/name/4758899,"Актер,Режиссер","5, 2017 — 2021",
Анна Миронова,https://www.kinopoisk.ru/name/6664512,Композитор,"4, 2021 — 2023",
Андрей Скороход,https://www.kinopoisk.ru/name/4714874,"Актер,Актер дубляжа","11, 2017 — 2022","Два холма. Фильм,Два холма"
Иван Мозжухин,https://www.kinopoisk.ru/name/223174,"Актер,Сценарист,Режиссер,Оператор","121, 1909 — 2018","Отец Сергий,Пиковая дама"
Артур Мухамадияров,https://www.kinopoisk.ru/name/2945630,Актер,"17, 2013 — 2023","Мир! Дружба! Жвачка!,Колл-центр,Полярный"
Екатерина Седик,https://www.kinopoisk.ru/name/3686096,Актриса,"11, 2013 — 2018","Улица,Триггер,Секретарша"
Юлия Фархутдинова,https://www.kinopoisk.ru/name/7117092,Актриса дубляжа,"1, 2023 — 2023",
Наталья Мызникова,https://www.kinopoisk.ru/name/3930367,"Актриса,Актриса дубляжа","22, 2013 — 2023","Великолепная пятёрка,Ментовские войны 10,Чужой,Алиби,Пять минут тишины. Возвращение"
Александра Дыхне,https://www.kinopoisk.ru/name/1754789,Актриса,"1, 2008 — 2008",
Антон Носик,https://www.kinopoisk.ru/name/2484943,,2,
Алексей Суренский,https://www.kinopoisk.ru/name/1827253,Актер,"36, 2006 — 2023","Командир,Золотая клетка,Вторая жизнь,Регби,Молодёжка,Перевал Дятлова"
Дмитрий Жуковец,https://www.kinopoisk.ru/name/6757406,Актер,"11, 2019 — 2023","Семейка,Беспринципные,Скорая помощь 5,The Телки"
Максим Белбородов,https://www.kinopoisk.ru/name/2379585,"Актер,Актер дубляжа","68, 2000 — 2024","Одиночка,28 панфиловцев,Старые шишки,Разведчицы,Цыпленок жареный,За час до рассвета,Город особого назначения,Переговорщик"
Сурен Саргсян,https://www.kinopoisk.ru/name/3747279,"Монтажер,Актер","9, 2014 — 2023",
Юрий Ракша,https://www.kinopoisk.ru/name/1998812,Художник,"7, 1965 — 1976","Восхождение,Дерсу Узала,Время, вперед!"
Анна Димова,https://www.kinopoisk.ru/name/1622809,Актриса,"10, 2004 — 2023","Папины дочки. Новые,Близнецы,Другие"
Ольга Балацкая,https://www.kinopoisk.ru/name/6803596,Актриса,"2, 2021 — 2023",
Максим Подзин,https://www.kinopoisk.ru/name/7145337,Актер,"12, 2016 — 2023","Невский. Расплата за справедливость,Великолепная пятёрка,Остров Обречённых"
Дарья Антонюк,https://www.kinopoisk.ru/name/5872903,Актриса,"4, 2018 — 2022",Естественный отбор
Станислав Садальский,https://www.kinopoisk.ru/name/162620,Актер,"114, 1970 — 2020","О бедном гусаре замолвите слово,Торпедоносцы,Сердце не камень,Невероятное пари, или Истинное происшествие, благополучно завершившееся сто лет назад,Искушение Б.,Противостояние,Убойная сила,Место встречи изменить нельзя,Ералаш"
Антон Хромов,https://www.kinopoisk.ru/name/6595133,"Продюсер,Режиссер,Сценарист,Актер","7, 2021 — 2023",
Алик Гульханов,https://www.kinopoisk.ru/name/1687537,"Актер,Продюсер","29, 2002 — 2022","Француз,Гибель Империи,Морпехи,Офицеры,Морской патруль,Сыщик Путилин"
Иван Чернышов,https://www.kinopoisk.ru/name/7148861,"Актер,Сценарист,Продюсер","2, 2023 — 2023",
Николай Пиотровский,https://www.kinopoisk.ru/name/2722245,"Режиссер,Продюсер,Оператор","5, 2011 — 2022",Со дна вершины
Сергей Антимонов,https://www.kinopoisk.ru/name/217826,"Актер,Сценарист","22, 1926 — 1980","Волга-Волга,Цирк"
Евгения Ледащева,https://www.kinopoisk.ru/name/4837657,Продюсер,"5, 2017 — 2021",
Максим Габула,https://www.kinopoisk.ru/name/7105653,"Продюсер,Режиссер,Актер","9, 2020 — 2023",
Алексей А. Петрухин,https://www.kinopoisk.ru/name/745352,"Продюсер,Актер,Сценарист,Режиссер","52, 2004 — 2022",
Гриша Левченко,https://www.kinopoisk.ru/name/5366718,Композитор,"7, 2015 — 2023",
Борис Данилюк,https://www.kinopoisk.ru/name/1815747,Продюсер,"3, 2006 — 2010",
Мария Абрамова,https://www.kinopoisk.ru/name/5850524,Актриса,"25, 2018 — 2023","Хрустальный,Пищеблок: Экстра,Кошка,Скорая помощь 5,Тайна Лилит"
Александр Пушной,https://www.kinopoisk.ru/name/1541310,"Композитор,Актер дубляжа,Актер","49, 1999 — 2023","Фиксики: Большой секрет,Простые истины,Галилео"
Юрий Лободенко,https://www.kinopoisk.ru/name/3673025,Актер,"2, 2014 — 2022",
Егор Морозов,https://www.kinopoisk.ru/name/3485178,"Актер,Актер дубляжа","26, 2009 — 2023","Время первых,Детективный синдром,Полицейский с Рублёвки. Снова дома,Секретарша"
София Чжоу,https://www.kinopoisk.ru/name/4666642,Актриса,"15, 2017 — 2023","Гости из прошлого,Беспринципные,Коп,Скорая помощь"
Александр Панченко,https://www.kinopoisk.ru/name/1865318,,1,
Инсаф Фахретдинов,https://www.kinopoisk.ru/name/7185782,Актер,"2, 2019 — 2023",
Иван Новиков,https://www.kinopoisk.ru/name/3708312,"Сценарист,Продюсер,Актер","23, 2006 — 2023","Трудные подростки,Вы все меня бесите,Домашнее поле"
Мария Кравченко,https://www.kinopoisk.ru/name/1865424,"Режиссер,Сценарист,Оператор,Монтажер","21, 2003 — 2021","Гости из прошлого,Родком,Жена олигарха,Девочки не сдаются,Случайная невеста"
Анатолий Чистов,https://www.kinopoisk.ru/name/3428001,Актер,"12, 2004 — 2021","Трасса смерти,Беловодье. Тайна затерянной страны"
Анна Тихонова,https://www.kinopoisk.ru/name/269887,"Актриса,Продюсер","18, 1984 — 2007",
Марина Зюбан,https://www.kinopoisk.ru/name/2283881,Актриса,"3, 2006 — 2013",Зворыкин-Муромец
Екатерина Дюмина,https://www.kinopoisk.ru/name/2709451,Актриса,"23, 2000 — 2023","Шеф 3,Невский. Тень архитектора,Осколки,Город особого назначения,Дыши со мной"
Сергей Городничий,https://www.kinopoisk.ru/name/4546081,Актер,"10, 2016 — 2024","Цикады,Один"
Светлана Волошина,https://www.kinopoisk.ru/name/6931282,Актриса,"6, 2014 — 2022","Ленинград 46,Великолепная пятёрка,Условный мент"
Павел Чухрай,https://www.kinopoisk.ru/name/75784,"Режиссер,Сценарист","21, 1974 — 2017","Вор,Классик,Запомните меня такой,Русская игра,Клетка для канареек"
Снежанна Ерискина,https://www.kinopoisk.ru/name/3615497,Актриса,"11, 2006 — 2016",Глухарь. Продолжение
Алексей Петров,https://www.kinopoisk.ru/name/3676603,"Режиссер,Сценарист,Художник,Монтажер","2, 2012 — 2014",
Олег Иванов,https://www.kinopoisk.ru/name/2994646,Актер,"6, 2009 — 2015","Обратная сторона Луны,Рожденная звездой"
Кира Коваленко,https://www.kinopoisk.ru/name/4428032,"Режиссер,Сценарист","3, 2014 — 2020",Разжимая кулаки
Валентина Ананьина,https://www.kinopoisk.ru/name/9150,"Актриса,Актриса дубляжа","232, 1955 — 2022","Станционный смотритель,Летят журавли,Изгой,Белорусский вокзал,Из жизни Федора Кузькина,Молодёжка,Большая перемена,Тени исчезают в полдень,Тихий Дон,Сибириада"
Лидия Филиппова,https://www.kinopoisk.ru/name/6932376,"Режиссер,Монтажер,Сценарист","8, 2019 — 2023",
Светлана Родина,https://www.kinopoisk.ru/name/283992,"Актриса,Актриса дубляжа","16, 1975 — 2016",Матерь человеческая
Дмитрий Колосков,https://www.kinopoisk.ru/name/3371913,Оператор,"2, 2011 — 2022",
Игорь Мишин,https://www.kinopoisk.ru/name/3069902,Актер,"3, 2013 — 2020",
Сергей Дернов,https://www.kinopoisk.ru/name/269696,Сценарист,"5, 1991 — 1998",Орел и решка
Алексей Юдников,https://www.kinopoisk.ru/name/2621430,"Актер,Актер дубляжа,Сценарист","40, 2001 — 2023","ЧС. Чрезвычайная ситуация,Глухарь,Оффлайн,Вы все меня бесите,Трасса смерти"
Татьяна Мошкова,https://www.kinopoisk.ru/name/2397095,Актриса,"39, 2007 — 2020","Нелюбовь,Московские тайны. Либерея,Полицейский с Рублёвки,Восьмидесятые,Спасти босса,Следствие любви,Маргарита Назарова"
Максим Голополосов,https://www.kinopoisk.ru/name/2645923,"Актер,Сценарист,Актер дубляжа","16, 2010 — 2021",
Ян Решетников,https://www.kinopoisk.ru/name/5006666,Актер,"26, 2014 — 2023","Последняя кнопка 2,Праведник,Витязи,Вампиры средней полосы,Казанова в России. Тайная миссия,Воскресенский,Улётный экипаж"
Рустам Ахмадеев,https://www.kinopoisk.ru/name/2396400,Актер,"9, 2011 — 2020","Елена,Мир! Дружба! Жвачка!,Фарца"
Вайдас Баумила,https://www.kinopoisk.ru/name/3803153,Актер,"7, 2014 — 2016",
Анна Носова,https://www.kinopoisk.ru/name/7211959,Актриса,"3, 2017 — 2020","Первый отдел,Великолепная пятёрка"
Гияс Шермухамедов,https://www.kinopoisk.ru/name/1040046,"Режиссер,Сценарист,Актер","8, 1966 — 1995",
Александр Никольский,https://www.kinopoisk.ru/name/2284273,Актер,"238, 2004 — 2024","Калашников,Лев Яшин. Вратарь моей мечты,Частное пионерское,Золотая кровь. Черный Орлов,Золотая кровь. Градус смерти,Жизнь и судьба,Сын отца народов,СОБР,Кровавая барыня,Мой капитан"
Мария Саакян,https://www.kinopoisk.ru/name/1102368,"Режиссер,Монтажер,Сценарист","6, 2004 — 2015",
Анастасия Щюрова,https://www.kinopoisk.ru/name/1660853,Актриса,"7, 2004 — 2009",Охотник
Руслан Ахмедов,https://www.kinopoisk.ru/name/10146306,Продюсер,"1, 2023 — 2023",
Сергей Мурзин,https://www.kinopoisk.ru/name/75868,Актер,"69, 1990 — 2022","Брат,Бедный, бедный Павел,Убойная сила,Крот,Ментовские войны 3,Серебряный волк,За час до рассвета"
Иван Ястребов,https://www.kinopoisk.ru/name/6009981,Сценарист,"4, 2017 — 2023",Зёма
Людмила Томилова,https://www.kinopoisk.ru/name/4547097,"Режиссер,Продюсер","2, 2019 — 2021",
Ксения Белоусова,https://www.kinopoisk.ru/name/2994737,,"1, 2012 — 2012",
Екатерина Эртель,https://www.kinopoisk.ru/name/5973117,"Режиссер,Сценарист,Актриса,Продюсер","10, 2020 — 2021",
Дмитрий Волков,https://www.kinopoisk.ru/name/1560939,Актер,"9, 2000 — 2018","Одна ночь любви,Бандитский Петербург 2: Адвокат,Сашка, любовь моя"
Кристина Кучеренко,https://www.kinopoisk.ru/name/1768477,Актриса,"57, 2002 — 2023","На острие,Ваша честь,Великая,Телохранители,Химера,АльфаРомео"
Руслан Шахов,https://www.kinopoisk.ru/name/7171146,Актер,"1, 2022 — 2022",
Ольга Кияшко,https://www.kinopoisk.ru/name/4717052,Актриса,"20, 2010 — 2021","Слуга народа 2,Доктор Надежда,Женский доктор,На твоей стороне"
Мария Матто,https://www.kinopoisk.ru/name/2429626,Актриса,"20, 2004 — 2023","Триггер,Метод,Как друзья Захара женили,Ненастье"
Алексей Моисеев,https://www.kinopoisk.ru/name/1144152,Актер,"34, 1991 — 2024","Барышня-крестьянка,Даун Хаус,Простые истины,Екатерина,Граница: Таежный роман,Московская сага,Дальнобойщики"
Гелена Пирогова,https://www.kinopoisk.ru/name/1692290,"Режиссер дубляжа,Режиссер,Сценарист,Монтажер","139, 1990 — 2023","Тайна Коко,Криминальное чтиво,Человек-паук: Паутина вселенных,Душа,Зверопой 2,Секретные материалы,Мультачки: Байки Мэтра"
Ольга Сидорова,https://www.kinopoisk.ru/name/231463,Актриса,"29, 1998 — 2020","Нежный возраст,Сочинение ко дню победы,Примадонна,Идеальная пара"
Алексей Блажиевский,https://www.kinopoisk.ru/name/5006396,Монтажер,"25, 2002 — 2022",
Наталья Чернявская,https://www.kinopoisk.ru/name/281005,Актриса,"50, 1992 — 2020","Любка,Красивая жизнь,Ласточкино гнездо,Высший пилотаж,И все-таки я люблю...,Банды"
Иван Дыховичный,https://www.kinopoisk.ru/name/116065,"Режиссер,Актер,Сценарист,Продюсер","25, 1970 — 2008","Москва, любовь моя"
Надежда Птушкина,https://www.kinopoisk.ru/name/238511,"Сценарист,Режиссер","7, 1999 — 2017",Приходи на меня посмотреть
Александр Юнкеров,https://www.kinopoisk.ru/name/2283887,Актер,"4, 2004 — 2023",Интерны
Никита Мазин,https://www.kinopoisk.ru/name/6328400,"Режиссер,Сценарист,Монтажер","2, 2019 — 2023",
Лаури Рандла,https://www.kinopoisk.ru/name/1761277,"Режиссер,Сценарист,Актер,Композитор","6, 2007 — 2020",
Стас Артимович,https://www.kinopoisk.ru/name/6866435,Продюсер,"1, 2017 — 2017",
Александра Яблочкина,https://www.kinopoisk.ru/name/2438030,Актриса,"1, 1956 — 1956",
Инна Франскевич,https://www.kinopoisk.ru/name/1557120,Актриса,"5, 2005 — 2010",Апостол
Марина Денисова,https://www.kinopoisk.ru/name/1950397,Актриса,"87, 2003 — 2024","Солнцепек,Лёд 3,Курорт цвета хаки,Месть,Она не могла иначе,Ментовские войны 8,Вызов"
Сергей Якушев,https://www.kinopoisk.ru/name/6567519,Актер,"10, 2007 — 2023",Порча
Мила Пичухина,https://www.kinopoisk.ru/name/6579701,Продюсер,"1, 2014 — 2014",
Инна Рубин,https://www.kinopoisk.ru/name/4547106,Актриса,"2, 2019 — 2019",
Александра Крето,https://www.kinopoisk.ru/name/2916104,Актриса,"13, 2012 — 2020",Очень позднее шоу с Джеймсом Корденом
Рустам Мухамеджанов,https://www.kinopoisk.ru/name/1897099,Актер,"5, 2016 — 2016",
